20120223T,79.0,79.0,79.0,79.0,0
20120224T,79.0,79.0,79.0,79.0,0
20120227T,75.0,75.0,75.0,75.0,0
20120228T,75.0,75.0,75.0,75.0,0
20120229T,72.0,72.0,72.0,72.0,0
20120301T,70.0,70.0,70.0,70.0,0
20120302T,68.0,68.0,68.0,68.0,0
20120305T,66.0,66.0,66.0,66.0,0
20120306T,63.0,63.0,63.0,63.0,0
20120307T,62.0,62.0,62.0,62.0,0
20120308T,63.0,63.0,63.0,63.0,0
20120309T,70.0,70.0,70.0,70.0,0
20120312T,74.0,74.0,74.0,74.0,0
20120313T,79.0,79.0,79.0,79.0,0
20120314T,79.0,79.0,79.0,79.0,0
20120315T,79.0,79.0,79.0,79.0,0
20120316T,77.0,77.0,77.0,77.0,0
20120319T,73.0,73.0,73.0,73.0,0
20120320T,73.0,73.0,73.0,73.0,0
20120321T,71.0,71.0,71.0,71.0,0
20120322T,66.0,66.0,66.0,66.0,0
20120323T,71.0,71.0,71.0,71.0,0
20120326T,66.0,66.0,66.0,66.0,0
20120327T,66.0,66.0,66.0,66.0,0
20120328T,62.0,62.0,62.0,62.0,0
20120329T,62.0,62.0,62.0,62.0,0
20120330T,63.0,63.0,63.0,63.0,0
20120402T,63.0,63.0,63.0,63.0,0
20120403T,61.0,61.0,61.0,61.0,0
20120404T,63.0,63.0,63.0,63.0,0
20120405T,55.0,55.0,55.0,55.0,0
20120409T,46.0,46.0,46.0,46.0,0
20120410T,39.0,39.0,39.0,39.0,0
20120411T,39.0,39.0,39.0,39.0,0
20120412T,38.0,38.0,38.0,38.0,0
20120413T,38.0,38.0,38.0,38.0,0
20120416T,37.0,37.0,37.0,37.0,0
20120417T,37.0,37.0,37.0,37.0,0
20120418T,36.0,36.0,36.0,36.0,0
20120419T,35.0,35.0,35.0,35.0,0
20120420T,35.0,35.0,35.0,35.0,0
20120423T,34.0,34.0,34.0,34.0,0
20120424T,34.0,34.0,34.0,34.0,0
20120425T,38.0,38.0,38.0,38.0,0
20120426T,40.0,40.0,40.0,40.0,0
20120427T,41.0,41.0,41.0,41.0,0
20120430T,43.0,43.0,43.0,43.0,0
20120501T,42.0,42.0,42.0,42.0,0
20120502T,42.0,42.0,42.0,42.0,0
20120503T,41.0,41.0,41.0,41.0,0
20120504T,41.0,41.0,41.0,41.0,0
20120507T,38.0,38.0,38.0,38.0,0
20120508T,32.0,32.0,32.0,32.0,0
20120509T,32.0,32.0,32.0,32.0,0
20120510T,32.0,32.0,32.0,32.0,0
20120511T,25.0,25.0,25.0,25.0,0
20120514T,23.0,23.0,23.0,23.0,0
20120515T,20.0,20.0,20.0,20.0,0
20120516T,14.0,14.0,14.0,14.0,0
20120517T,12.0,12.0,12.0,12.0,0
20120518T,12.0,12.0,12.0,12.0,0
20120521T,16.0,16.0,16.0,16.0,0
20120522T,15.0,15.0,15.0,15.0,0
20120523T,15.0,15.0,15.0,15.0,0
20120524T,14.0,14.0,14.0,14.0,0
20120525T,13.0,13.0,13.0,13.0,0
20120529T,14.0,14.0,14.0,14.0,0
20120530T,12.0,12.0,12.0,12.0,0
20120531T,10.0,10.0,10.0,10.0,0
20120601T,10.0,10.0,10.0,10.0,0
20120604T,14.0,14.0,14.0,14.0,0
20120605T,14.0,14.0,14.0,14.0,0
20120606T,15.0,15.0,15.0,15.0,0
20120607T,16.0,16.0,16.0,16.0,0
20120608T,19.0,19.0,19.0,19.0,0
20120611T,20.0,20.0,20.0,20.0,0
20120612T,22.0,22.0,22.0,22.0,0
20120613T,19.0,19.0,19.0,19.0,0
20120614T,27.0,27.0,27.0,27.0,0
20120615T,35.0,35.0,35.0,35.0,0
20120618T,36.0,36.0,36.0,36.0,0
20120619T,36.0,36.0,36.0,36.0,0
20120620T,36.0,36.0,36.0,36.0,0
20120621T,33.0,33.0,33.0,33.0,0
20120622T,33.0,33.0,33.0,33.0,0
20120625T,39.0,39.0,39.0,39.0,0
20120626T,41.0,41.0,41.0,41.0,0
20120627T,41.0,41.0,41.0,41.0,0
20120628T,48.0,48.0,48.0,48.0,0
